%Elements  DoFs     Threads  Wallclock(s)
400       3803     1        75.64
400       3803     2        42.15
400       3803     4        23.45
400       3803     30       22.06
1600      14803    1        284.31
1600      14803    2        146.38
1600      14803    4        84.43
1600      14803    8        54.92
1600      14803    15       50.66
1600      14803    30       49.77
6400      58403    1        1094.8
6400      58403    2        530.54
6400      58403    4        297.81
6400      58403    8        209.22
6400      58403    15       194.27
6400      58403    30       190.87
25600     232003   1        4349
25600     232003   2        2086.9
25600     232003   4        1117.68
25600     232003   8        809.53
25600     232003   15       750.27
25600     232003   30       752.31
102400    924803   1        18722
102400    924803   2        8254
102400    924803   4        4399
102400    924803   8        3161.27
102400    924803   15       2933.02
