%Elements  DoFs     Threads  Wallclock(s)
1000      29114    1        3894
1000      29114    2        2037.4
1000      29114    4        1051.1
1000      29114    8        584.13
1000      29114    15       374.57
1000      29114    30       251.81
1000      29114    60       220.97
8000      216024   1        28929
8000      216024   2        14265
8000      216024   4        7405
8000      216024   8        4101
8000      216024   15       2546.25
8000      216024   30       1647.5
8000      216024   60       1450.5
